Sentence 1	Sentence 2	Combined	Concept Strings	Concept Synsets
man wearing a red shirt	man has folded his sleeves	man wearing a red shirt man has folded his sleeves	['shirt', 'man', 'sleeves']	['shirt.n.01', 'man.n.01', 'sleeve.n.01']
man wearing a red shirt	man has folded his sleeves	man wearing a red shirt man has folded his sleeves	['shirt', 'man', 'sleeve']	['shirt.n.01', 'man.n.01', 'sleeve.n.01']
man wearing a red shirt	man is wearing black pants	man wearing a red shirt man is wearing black pants	['shirt', 'man', 'pants']	['shirt.n.01', 'man.n.01', 'trouser.n.01']
man wearing a red shirt	mans jackets are touching the floor	man wearing a red shirt mans jackets are touching the floor	['shirt', 'man', 'jacket']	['shirt.n.01', 'man.n.01', 'jacket.n.01']
man wearing a red shirt	A man sitting at a desk 	man wearing a red shirt a man sitting at a desk	['shirt', 'man', 'desk']	['shirt.n.01', 'man.n.01', 'desk.n.01']
man wearing a red shirt	the man is using a computer to  the right	man wearing a red shirt the man is using a computer to the right	['shirt', 'man', 'computer']	['shirt.n.01', 'man.n.01', 'computer.n.01']
man wearing a red shirt	A man using a computer. 	man wearing a red shirt a man using a computer.	['shirt', 'man', 'computer']	['shirt.n.01', 'man.n.01', 'computer.n.01']
man wearing a red shirt	Man looking at computer	man wearing a red shirt man looking at computer	['shirt', 'man', 'computer']	['shirt.n.01', 'man.n.01', 'computer.n.01']
man is wearing glasses	man is wearing sneakers	man is wearing glasses and is wearing sneakers	['man', 'glasses', 'sneakers']	['man.n.01', 'spectacles.n.01', 'gym_shoe.n.01']
man is wearing glasses	A man in a red shirt	man is wearing glasses and in a red shirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
man is wearing glasses	a man wears grey shoes	man is wearing glasses and wears grey shoes	['man', 'glasses', 'sneakers']	['man.n.01', 'spectacles.n.01', 'gym_shoe.n.01']
man is wearing glasses	a man has brown shoes on 	man is wearing glasses and has brown shoes on	['man', 'glasses', 'shoes']	['man.n.01', 'spectacles.n.01', 'shoe.n.01']
man is wearing glasses	A man dressed in a red shirt and black pants. 	man is wearing glasses and dressed in a red shirt and black pants.	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
man is wearing glasses	A man dressed in a red shirt and black pants. 	man is wearing glasses and dressed in a red shirt and black pants.	['man', 'glasses', 'pants']	['man.n.01', 'spectacles.n.01', 'trouser.n.01']
man is wearing glasses	A man wearing a gray jacket and gray pants. 	man is wearing glasses and wearing a gray jacket and gray pants.	['man', 'glasses', 'jacket']	['man.n.01', 'spectacles.n.01', 'jacket.n.01']
man is wearing glasses	A man wearing a gray jacket and gray pants. 	man is wearing glasses and wearing a gray jacket and gray pants.	['man', 'glasses', 'pants']	['man.n.01', 'spectacles.n.01', 'trouser.n.01']
man is wearing glasses	man is wearing red tshirt	man is wearing glasses and is wearing red tshirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
man is wearing glasses	man is holding his chin	man is wearing glasses and is holding his chin	['man', 'glasses', 'chin']	['man.n.01', 'spectacles.n.01', 'chin.n.01']
man is wearing glasses	man is wearing brown shoes	man is wearing glasses and is wearing brown shoes	['man', 'glasses', 'shoes']	['man.n.01', 'spectacles.n.01', 'shoe.n.01']
man is wearing glasses	the man wears a red t shirt 	man is wearing glasses and wears a red t shirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
man is wearing glasses	A man in a gray hoodie	man is wearing glasses and in a gray hoodie	['man', 'glasses', 'jacket']	['man.n.01', 'spectacles.n.01', 'jacket.n.01']
man is wearing glasses	man wearing silver backpack	man is wearing glasses and wearing silver backpack	['man', 'glasses', 'backpack']	['man.n.01', 'spectacles.n.01', 'backpack.n.01']
man is wearing glasses	man is about to cross the road	man is wearing glasses and is about to cross the road	['man', 'glasses', 'crosswalk']	['man.n.01', 'spectacles.n.01', 'crossing.n.05']
man is wearing glasses	man has folded sleeves	man is wearing glasses and has folded sleeves	['man', 'glasses', 'sleeves']	['man.n.01', 'spectacles.n.01', 'sleeve.n.01']
man is wearing glasses	man is wearing black and white tshirt	man is wearing glasses and is wearing black and white tshirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
man is wearing glasses	man is looking at the computer	man is wearing glasses and is looking at the computer	['man', 'glasses', 'computer']	['man.n.01', 'spectacles.n.01', 'computer.n.01']
man is wearing glasses	mans hand is on the keyboard	man is wearing glasses and hand is on the keyboard	['man', 'glasses', 'hand']	['man.n.01', 'spectacles.n.01', 'hand.n.01']
man is wearing glasses	man has folded his sleeves	man is wearing glasses and has folded his sleeves	['man', 'glasses', 'sleeves']	['man.n.01', 'spectacles.n.01', 'sleeve.n.01']
man is wearing glasses	man has folded his sleeves	man is wearing glasses and has folded his sleeves	['man', 'glasses', 'sleeve']	['man.n.01', 'spectacles.n.01', 'sleeve.n.01']
man is wearing glasses	man is wearing black pants	man is wearing glasses and is wearing black pants	['man', 'glasses', 'pants']	['man.n.01', 'spectacles.n.01', 'trouser.n.01']
man is wearing glasses	man has a white and black tshirt	man is wearing glasses and has a white and black tshirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
man is wearing glasses	mans jackets are touching the floor	man is wearing glasses and jackets are touching the floor	['man', 'glasses', 'jacket']	['man.n.01', 'spectacles.n.01', 'jacket.n.01']
man is wearing glasses	A man sitting at a desk 	man is wearing glasses and sitting at a desk	['man', 'glasses', 'desk']	['man.n.01', 'spectacles.n.01', 'desk.n.01']
man is wearing glasses	the man is using a computer to  the right	man is wearing glasses and is using a computer to the right	['man', 'glasses', 'computer']	['man.n.01', 'spectacles.n.01', 'computer.n.01']
man is wearing glasses	a man in a grey shirt	man is wearing glasses and in a grey shirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
man is wearing glasses	A man using a computer. 	man is wearing glasses and using a computer.	['man', 'glasses', 'computer']	['man.n.01', 'spectacles.n.01', 'computer.n.01']
man is wearing glasses	Man looking at computer	man is wearing glasses and looking at computer	['man', 'glasses', 'computer']	['man.n.01', 'spectacles.n.01', 'computer.n.01']
man is wearing glasses	man is wearing grey shirt	man is wearing glasses and is wearing grey shirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
the man wears a red t shirt 	man is wearing sneakers	the man wears a red t shirt and is wearing sneakers	['man', 'shirt', 'sneakers']	['man.n.01', 'shirt.n.01', 'gym_shoe.n.01']
the man wears a red t shirt 	a man is wearing glasses	the man wears a red t shirt and is wearing glasses	['man', 'shirt', 'glasses']	['man.n.01', 'shirt.n.01', 'spectacles.n.01']
the man wears a red t shirt 	a man wears grey shoes	the man wears a red t shirt and wears grey shoes	['man', 'shirt', 'sneakers']	['man.n.01', 'shirt.n.01', 'gym_shoe.n.01']
the man wears a red t shirt 	a man has brown shoes on 	the man wears a red t shirt and has brown shoes on	['man', 'shirt', 'shoes']	['man.n.01', 'shirt.n.01', 'shoe.n.01']
the man wears a red t shirt 	A man dressed in a red shirt and black pants. 	the man wears a red t shirt and dressed in a red shirt and black pants.	['man', 'shirt', 'pants']	['man.n.01', 'shirt.n.01', 'trouser.n.01']
the man wears a red t shirt 	A man wearing a gray jacket and gray pants. 	the man wears a red t shirt and wearing a gray jacket and gray pants.	['man', 'shirt', 'jacket']	['man.n.01', 'shirt.n.01', 'jacket.n.01']
the man wears a red t shirt 	A man wearing a gray jacket and gray pants. 	the man wears a red t shirt and wearing a gray jacket and gray pants.	['man', 'shirt', 'pants']	['man.n.01', 'shirt.n.01', 'trouser.n.01']
the man wears a red t shirt 	man is holding his chin	the man wears a red t shirt and is holding his chin	['man', 'shirt', 'chin']	['man.n.01', 'shirt.n.01', 'chin.n.01']
the man wears a red t shirt 	man is wearing brown shoes	the man wears a red t shirt and is wearing brown shoes	['man', 'shirt', 'shoes']	['man.n.01', 'shirt.n.01', 'shoe.n.01']
the man wears a red t shirt 	a man in glasses	the man wears a red t shirt and in glasses	['man', 'shirt', 'glasses']	['man.n.01', 'shirt.n.01', 'spectacles.n.01']
the man wears a red t shirt 	A man in a gray hoodie	the man wears a red t shirt and in a gray hoodie	['man', 'shirt', 'jacket']	['man.n.01', 'shirt.n.01', 'jacket.n.01']
the man wears a red t shirt 	man wearing silver backpack	the man wears a red t shirt and wearing silver backpack	['man', 'shirt', 'backpack']	['man.n.01', 'shirt.n.01', 'backpack.n.01']
the man wears a red t shirt 	man is about to cross the road	the man wears a red t shirt and is about to cross the road	['man', 'shirt', 'crosswalk']	['man.n.01', 'shirt.n.01', 'crossing.n.05']
the man wears a red t shirt 	man has folded sleeves	the man wears a red t shirt and has folded sleeves	['man', 'shirt', 'sleeves']	['man.n.01', 'shirt.n.01', 'sleeve.n.01']
the man wears a red t shirt 	man is looking at the computer	the man wears a red t shirt and is looking at the computer	['man', 'shirt', 'computer']	['man.n.01', 'shirt.n.01', 'computer.n.01']
the man wears a red t shirt 	mans hand is on the keyboard	the man wears a red t shirt and hand is on the keyboard	['man', 'shirt', 'hand']	['man.n.01', 'shirt.n.01', 'hand.n.01']
the man wears a red t shirt 	the man has glasses on 	the man wears a red t shirt and has glasses on	['man', 'shirt', 'glasses']	['man.n.01', 'shirt.n.01', 'spectacles.n.01']
the man wears a red t shirt 	man has folded his sleeves	the man wears a red t shirt and has folded his sleeves	['man', 'shirt', 'sleeves']	['man.n.01', 'shirt.n.01', 'sleeve.n.01']
the man wears a red t shirt 	man has folded his sleeves	the man wears a red t shirt and has folded his sleeves	['man', 'shirt', 'sleeve']	['man.n.01', 'shirt.n.01', 'sleeve.n.01']
the man wears a red t shirt 	man is wearing black pants	the man wears a red t shirt and is wearing black pants	['man', 'shirt', 'pants']	['man.n.01', 'shirt.n.01', 'trouser.n.01']
the man wears a red t shirt 	mans jackets are touching the floor	the man wears a red t shirt and jackets are touching the floor	['man', 'shirt', 'jacket']	['man.n.01', 'shirt.n.01', 'jacket.n.01']
the man wears a red t shirt 	A man sitting at a desk 	the man wears a red t shirt and sitting at a desk	['man', 'shirt', 'desk']	['man.n.01', 'shirt.n.01', 'desk.n.01']
the man wears a red t shirt 	the man is using a computer to  the right	the man wears a red t shirt and is using a computer to the right	['man', 'shirt', 'computer']	['man.n.01', 'shirt.n.01', 'computer.n.01']
the man wears a red t shirt 	A man using a computer. 	the man wears a red t shirt and using a computer.	['man', 'shirt', 'computer']	['man.n.01', 'shirt.n.01', 'computer.n.01']
the man wears a red t shirt 	Man looking at computer	the man wears a red t shirt and looking at computer	['man', 'shirt', 'computer']	['man.n.01', 'shirt.n.01', 'computer.n.01']
a parking meter is on the street	a parking meter is on the sidewalk	a parking meter is on the street and a parking meter is on the sidewalk	['parking meter', 'street', 'sidewalk']	['parking_meter.n.01', 'street.n.01', 'sidewalk.n.01']
a parking meter is on the street	parking meter on the sidewalk	a parking meter is on the street and parking meter on the sidewalk	['parking meter', 'street', 'man']	['parking_meter.n.01', 'street.n.01', 'man.n.01']
trees line up the street	trees are along the road	trees line up the street and are along the road	['tree', 'street', 'road']	['tree.n.01', 'street.n.01', 'road.n.01']
a man in glasses	man is wearing sneakers	a man in glasses and is wearing sneakers	['man', 'glasses', 'sneakers']	['man.n.01', 'spectacles.n.01', 'gym_shoe.n.01']
a man in glasses	A man in a red shirt	a man in glasses and in a red shirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
a man in glasses	a man wears grey shoes	a man in glasses and wears grey shoes	['man', 'glasses', 'sneakers']	['man.n.01', 'spectacles.n.01', 'gym_shoe.n.01']
a man in glasses	a man has brown shoes on 	a man in glasses and has brown shoes on	['man', 'glasses', 'shoes']	['man.n.01', 'spectacles.n.01', 'shoe.n.01']
a man in glasses	A man dressed in a red shirt and black pants. 	a man in glasses and dressed in a red shirt and black pants.	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
a man in glasses	A man dressed in a red shirt and black pants. 	a man in glasses and dressed in a red shirt and black pants.	['man', 'glasses', 'pants']	['man.n.01', 'spectacles.n.01', 'trouser.n.01']
a man in glasses	A man wearing a gray jacket and gray pants. 	a man in glasses and wearing a gray jacket and gray pants.	['man', 'glasses', 'jacket']	['man.n.01', 'spectacles.n.01', 'jacket.n.01']
a man in glasses	A man wearing a gray jacket and gray pants. 	a man in glasses and wearing a gray jacket and gray pants.	['man', 'glasses', 'pants']	['man.n.01', 'spectacles.n.01', 'trouser.n.01']
a man in glasses	man is wearing red tshirt	a man in glasses and is wearing red tshirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
a man in glasses	man is holding his chin	a man in glasses and is holding his chin	['man', 'glasses', 'chin']	['man.n.01', 'spectacles.n.01', 'chin.n.01']
a man in glasses	man is wearing brown shoes	a man in glasses and is wearing brown shoes	['man', 'glasses', 'shoes']	['man.n.01', 'spectacles.n.01', 'shoe.n.01']
a man in glasses	the man wears a red t shirt 	a man in glasses and wears a red t shirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
a man in glasses	A man in a gray hoodie	a man in glasses and in a gray hoodie	['man', 'glasses', 'jacket']	['man.n.01', 'spectacles.n.01', 'jacket.n.01']
a man in glasses	man wearing silver backpack	a man in glasses and wearing silver backpack	['man', 'glasses', 'backpack']	['man.n.01', 'spectacles.n.01', 'backpack.n.01']
a man in glasses	man is about to cross the road	a man in glasses and is about to cross the road	['man', 'glasses', 'crosswalk']	['man.n.01', 'spectacles.n.01', 'crossing.n.05']
a man in glasses	man has folded sleeves	a man in glasses and has folded sleeves	['man', 'glasses', 'sleeves']	['man.n.01', 'spectacles.n.01', 'sleeve.n.01']
a man in glasses	man is wearing black and white tshirt	a man in glasses and is wearing black and white tshirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
a man in glasses	man is looking at the computer	a man in glasses and is looking at the computer	['man', 'glasses', 'computer']	['man.n.01', 'spectacles.n.01', 'computer.n.01']
a man in glasses	mans hand is on the keyboard	a man in glasses and hand is on the keyboard	['man', 'glasses', 'hand']	['man.n.01', 'spectacles.n.01', 'hand.n.01']
a man in glasses	man has folded his sleeves	a man in glasses and has folded his sleeves	['man', 'glasses', 'sleeves']	['man.n.01', 'spectacles.n.01', 'sleeve.n.01']
a man in glasses	man has folded his sleeves	a man in glasses and has folded his sleeves	['man', 'glasses', 'sleeve']	['man.n.01', 'spectacles.n.01', 'sleeve.n.01']
a man in glasses	man is wearing black pants	a man in glasses and is wearing black pants	['man', 'glasses', 'pants']	['man.n.01', 'spectacles.n.01', 'trouser.n.01']
a man in glasses	man has a white and black tshirt	a man in glasses and has a white and black tshirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
a man in glasses	mans jackets are touching the floor	a man in glasses and jackets are touching the floor	['man', 'glasses', 'jacket']	['man.n.01', 'spectacles.n.01', 'jacket.n.01']
a man in glasses	A man sitting at a desk 	a man in glasses and sitting at a desk	['man', 'glasses', 'desk']	['man.n.01', 'spectacles.n.01', 'desk.n.01']
a man in glasses	the man is using a computer to  the right	a man in glasses and is using a computer to the right	['man', 'glasses', 'computer']	['man.n.01', 'spectacles.n.01', 'computer.n.01']
a man in glasses	a man in a grey shirt	a man in glasses and in a grey shirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
a man in glasses	A man using a computer. 	a man in glasses and using a computer.	['man', 'glasses', 'computer']	['man.n.01', 'spectacles.n.01', 'computer.n.01']
a man in glasses	Man looking at computer	a man in glasses and looking at computer	['man', 'glasses', 'computer']	['man.n.01', 'spectacles.n.01', 'computer.n.01']
a man in glasses	man is wearing grey shirt	a man in glasses and is wearing grey shirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
A tall brick building with many windows	windows with a view of the outside	A tall brick building with many windows windows with a view of the outside	['building', 'windows', 'outside']	['building.n.01', 'window.n.01', 'outside.n.01']
man wearing silver backpack	man is wearing sneakers	man wearing silver backpack and is wearing sneakers	['man', 'backpack', 'sneakers']	['man.n.01', 'backpack.n.01', 'gym_shoe.n.01']
man wearing silver backpack	A man in a red shirt	man wearing silver backpack and in a red shirt	['man', 'backpack', 'shirt']	['man.n.01', 'backpack.n.01', 'shirt.n.01']
man wearing silver backpack	a man is wearing glasses	man wearing silver backpack and is wearing glasses	['man', 'backpack', 'glasses']	['man.n.01', 'backpack.n.01', 'spectacles.n.01']
man wearing silver backpack	a man wears grey shoes	man wearing silver backpack and wears grey shoes	['man', 'backpack', 'sneakers']	['man.n.01', 'backpack.n.01', 'gym_shoe.n.01']
man wearing silver backpack	a man has brown shoes on 	man wearing silver backpack and has brown shoes on	['man', 'backpack', 'shoes']	['man.n.01', 'backpack.n.01', 'shoe.n.01']
man wearing silver backpack	A man dressed in a red shirt and black pants. 	man wearing silver backpack and dressed in a red shirt and black pants.	['man', 'backpack', 'shirt']	['man.n.01', 'backpack.n.01', 'shirt.n.01']
man wearing silver backpack	A man dressed in a red shirt and black pants. 	man wearing silver backpack and dressed in a red shirt and black pants.	['man', 'backpack', 'pants']	['man.n.01', 'backpack.n.01', 'trouser.n.01']
man wearing silver backpack	A man wearing a gray jacket and gray pants. 	man wearing silver backpack and wearing a gray jacket and gray pants.	['man', 'backpack', 'jacket']	['man.n.01', 'backpack.n.01', 'jacket.n.01']
man wearing silver backpack	A man wearing a gray jacket and gray pants. 	man wearing silver backpack and wearing a gray jacket and gray pants.	['man', 'backpack', 'pants']	['man.n.01', 'backpack.n.01', 'trouser.n.01']
man wearing silver backpack	man is wearing red tshirt	man wearing silver backpack and is wearing red tshirt	['man', 'backpack', 'shirt']	['man.n.01', 'backpack.n.01', 'shirt.n.01']
man wearing silver backpack	man is holding his chin	man wearing silver backpack and is holding his chin	['man', 'backpack', 'chin']	['man.n.01', 'backpack.n.01', 'chin.n.01']
man wearing silver backpack	man is wearing brown shoes	man wearing silver backpack and is wearing brown shoes	['man', 'backpack', 'shoes']	['man.n.01', 'backpack.n.01', 'shoe.n.01']
man wearing silver backpack	the man wears a red t shirt 	man wearing silver backpack and wears a red t shirt	['man', 'backpack', 'shirt']	['man.n.01', 'backpack.n.01', 'shirt.n.01']
man wearing silver backpack	a man in glasses	man wearing silver backpack and in glasses	['man', 'backpack', 'glasses']	['man.n.01', 'backpack.n.01', 'spectacles.n.01']
man wearing silver backpack	A man in a gray hoodie	man wearing silver backpack and in a gray hoodie	['man', 'backpack', 'jacket']	['man.n.01', 'backpack.n.01', 'jacket.n.01']
man wearing silver backpack	man is about to cross the road	man wearing silver backpack and is about to cross the road	['man', 'backpack', 'crosswalk']	['man.n.01', 'backpack.n.01', 'crossing.n.05']
man wearing silver backpack	man has folded sleeves	man wearing silver backpack and has folded sleeves	['man', 'backpack', 'sleeves']	['man.n.01', 'backpack.n.01', 'sleeve.n.01']
man wearing silver backpack	man is wearing black and white tshirt	man wearing silver backpack and is wearing black and white tshirt	['man', 'backpack', 'shirt']	['man.n.01', 'backpack.n.01', 'shirt.n.01']
man wearing silver backpack	man is looking at the computer	man wearing silver backpack and is looking at the computer	['man', 'backpack', 'computer']	['man.n.01', 'backpack.n.01', 'computer.n.01']
man wearing silver backpack	mans hand is on the keyboard	man wearing silver backpack and hand is on the keyboard	['man', 'backpack', 'hand']	['man.n.01', 'backpack.n.01', 'hand.n.01']
man wearing silver backpack	the man has glasses on 	man wearing silver backpack and has glasses on	['man', 'backpack', 'glasses']	['man.n.01', 'backpack.n.01', 'spectacles.n.01']
man wearing silver backpack	man has folded his sleeves	man wearing silver backpack and has folded his sleeves	['man', 'backpack', 'sleeves']	['man.n.01', 'backpack.n.01', 'sleeve.n.01']
man wearing silver backpack	man has folded his sleeves	man wearing silver backpack and has folded his sleeves	['man', 'backpack', 'sleeve']	['man.n.01', 'backpack.n.01', 'sleeve.n.01']
man wearing silver backpack	man is wearing black pants	man wearing silver backpack and is wearing black pants	['man', 'backpack', 'pants']	['man.n.01', 'backpack.n.01', 'trouser.n.01']
man wearing silver backpack	man has a white and black tshirt	man wearing silver backpack and has a white and black tshirt	['man', 'backpack', 'shirt']	['man.n.01', 'backpack.n.01', 'shirt.n.01']
man wearing silver backpack	mans jackets are touching the floor	man wearing silver backpack and jackets are touching the floor	['man', 'backpack', 'jacket']	['man.n.01', 'backpack.n.01', 'jacket.n.01']
man wearing silver backpack	A man sitting at a desk 	man wearing silver backpack and sitting at a desk	['man', 'backpack', 'desk']	['man.n.01', 'backpack.n.01', 'desk.n.01']
man wearing silver backpack	the man is using a computer to  the right	man wearing silver backpack and is using a computer to the right	['man', 'backpack', 'computer']	['man.n.01', 'backpack.n.01', 'computer.n.01']
man wearing silver backpack	a man in a grey shirt	man wearing silver backpack and in a grey shirt	['man', 'backpack', 'shirt']	['man.n.01', 'backpack.n.01', 'shirt.n.01']
man wearing silver backpack	A man using a computer. 	man wearing silver backpack and using a computer.	['man', 'backpack', 'computer']	['man.n.01', 'backpack.n.01', 'computer.n.01']
man wearing silver backpack	Man looking at computer	man wearing silver backpack and looking at computer	['man', 'backpack', 'computer']	['man.n.01', 'backpack.n.01', 'computer.n.01']
man wearing silver backpack	man is wearing grey shirt	man wearing silver backpack and is wearing grey shirt	['man', 'backpack', 'shirt']	['man.n.01', 'backpack.n.01', 'shirt.n.01']
red car parked on road	cars headlights are off	red car parked on road and headlights are off	['car', 'road', 'headlight']	['car.n.01', 'road.n.01', 'headlight.n.01']
red car parked on road	The back of a white car	red car parked on road and 	['car', 'road', 'back']	['car.n.01', 'road.n.01', 'back.n.01']
red car parked on road	A white car parked on the street. 	red car parked on road and parked on the street.	['car', 'road', 'street']	['car.n.01', 'road.n.01', 'street.n.01']
A building with a lot of glass windows. 	windows with a view of the outside	A building with a lot of glass windows windows with a view of the outside	['building', 'window', 'outside']	['building.n.01', 'window.n.01', 'outside.n.01']
A white car parked on the side of the road. 	cars headlights are off	A white car parked on the side of the road and headlights are off	['car', 'road', 'headlight']	['car.n.01', 'road.n.01', 'headlight.n.01']
A white car parked on the side of the road. 	The back of a white car	A white car parked on the side of the road and 	['car', 'road', 'back']	['car.n.01', 'road.n.01', 'back.n.01']
A white car parked on the side of the road. 	A white car parked on the street. 	A white car parked on the side of the road and parked on the street.	['car', 'road', 'street']	['car.n.01', 'road.n.01', 'street.n.01']
A sign on the side of the road. 	A sign on the facade of the building	A sign on the side of the road and on the facade of the building	['sign', 'road', 'building']	['sign.n.02', 'road.n.01', 'building.n.01']
trees are along the road	trees line up the street	trees are along the road and line up the street	['tree', 'road', 'street']	['tree.n.01', 'road.n.01', 'street.n.01']
bike is next to the car	cars headlights are off	bike is next to the car cars headlights are off	['bike', 'car', 'headlight']	['bicycle.n.01', 'car.n.01', 'headlight.n.01']
bike is next to the car	The back of a white car	bike is next to the car the back of a white car	['bike', 'car', 'back']	['bicycle.n.01', 'car.n.01', 'back.n.01']
bike is next to the car	A white car parked on the street. 	bike is next to the car a white car parked on the street.	['bike', 'car', 'street']	['bicycle.n.01', 'car.n.01', 'street.n.01']
bike is next to the car	red car parked on road	bike is next to the car red car parked on road	['bike', 'car', 'road']	['bicycle.n.01', 'car.n.01', 'road.n.01']
bike is next to the car	A white car parked on the side of the road. 	bike is next to the car a white car parked on the side of the road.	['bike', 'car', 'road']	['bicycle.n.01', 'car.n.01', 'road.n.01']
bike is next to the car	red car is parked along the road	bike is next to the car red car is parked along the road	['bike', 'car', 'road']	['bicycle.n.01', 'car.n.01', 'road.n.01']
bike is next to the car	A bicycle parked on the sidewalk.	bike is next to the car and a bicycle parked on the sidewalk.	['bike', 'car', 'sidewalk']	['bicycle.n.01', 'car.n.01', 'sidewalk.n.01']
bike is next to the car	bicycles on the sidewalk	bike is next to the car and bicycles on the sidewalk	['bike', 'car', 'sidewalk']	['bicycle.n.01', 'car.n.01', 'sidewalk.n.01']
bike is next to the car	bikes have been parked near a tree	bike is next to the car and have been parked near a tree	['bike', 'car', 'tree']	['bicycle.n.01', 'car.n.01', 'tree.n.01']
bike is next to the car	bikes are packed near the trees	bike is next to the car and are packed near the trees	['bike', 'car', 'tree']	['bicycle.n.01', 'car.n.01', 'tree.n.01']
bike is next to the car	bicycles are seen in the bckground	bike is next to the car and bicycles are seen in the bckground	['bike', 'car', 'man']	['bicycle.n.01', 'car.n.01', 'man.n.01']
red car is parked along the road	cars headlights are off	red car is parked along the road and headlights are off	['car', 'road', 'headlight']	['car.n.01', 'road.n.01', 'headlight.n.01']
red car is parked along the road	The back of a white car	red car is parked along the road and 	['car', 'road', 'back']	['car.n.01', 'road.n.01', 'back.n.01']
red car is parked along the road	A white car parked on the street. 	red car is parked along the road and parked on the street.	['car', 'road', 'street']	['car.n.01', 'road.n.01', 'street.n.01']
A multiple outlet with several plugs in it	A multiple outlet with several plugs in it	A multiple outlet with several plugs in it and a multiple outlet with several plugs in it	['multiple outlet', 'plug', 'monitor']	['mercantile_establishment.n.01', 'plug.n.01', 'monitor.n.04']
A multiple outlet with several plugs in it	electrical outlets in the wall 	A multiple outlet with several plugs in it and in the wall	['multiple outlet', 'plug', 'wall']	['mercantile_establishment.n.01', 'plug.n.01', 'wall.n.01']
A multiple outlet with several plugs in it	Electrical outlet on floor	A multiple outlet with several plugs in it and on floor	['multiple outlet', 'plug', 'floor']	['mercantile_establishment.n.01', 'plug.n.01', 'floor.n.01']
A multiple outlet with several plugs in it	A conductor strip on the floor	A multiple outlet with several plugs in it and a conductor strip on the floor	['multiple outlet', 'plug', 'floor']	['mercantile_establishment.n.01', 'plug.n.01', 'floor.n.01']
girl sitting in front of a monitor	white computer monitor on the desk	girl sitting in front of a monitor white computer monitor on the desk	['girl', 'monitor', 'desk']	['girl.n.01', 'monitor.n.04', 'desk.n.01']
girl sitting in front of a monitor	ancient computer monitor next to water bottle	girl sitting in front of a monitor ancient computer monitor next to water bottle	['girl', 'monitor', 'bottle']	['girl.n.01', 'monitor.n.04', 'bottle.n.01']
girl sitting in front of a monitor	a white computer monitor on the desk	girl sitting in front of a monitor a white computer monitor on the desk	['girl', 'monitor', 'desk']	['girl.n.01', 'monitor.n.04', 'desk.n.01']
girl sitting in front of a monitor	planes are on the monitors screen	girl sitting in front of a monitor planes are on the monitors screen	['girl', 'monitor', 'screen']	['girl.n.01', 'monitor.n.04', 'screen.n.01']
girl sitting in front of a monitor	woman has long hair	girl sitting in front of a monitor and woman has long hair	['girl', 'monitor', 'hair']	['girl.n.01', 'monitor.n.04', 'hair.n.01']
girl sitting in front of a monitor	woman is wearing a chain 	girl sitting in front of a monitor and woman is wearing a chain	['girl', 'monitor', 'chain']	['girl.n.01', 'monitor.n.04', 'chain.n.01']
girl sitting in front of a monitor	girl is wearing a necklace 	girl sitting in front of a monitor and is wearing a necklace	['girl', 'monitor', 'necklace']	['girl.n.01', 'monitor.n.04', 'necklace.n.01']
mouse next to keyboard 	white computer keyboard with grey keys	mouse next to keyboard white computer keyboard with grey keys	['mouse', 'keyboard', 'grey keys']	['mouse.n.01', 'keyboard.n.01', 'key.n.01']
mouse next to keyboard 	keyboard sitting on desk	mouse next to keyboard keyboard sitting on desk	['mouse', 'keyboard', 'desk']	['mouse.n.01', 'keyboard.n.01', 'desk.n.01']
mouse next to keyboard 	Computer keyboard on a desk	mouse next to keyboard computer keyboard on a desk	['mouse', 'keyboard', 'desk']	['mouse.n.01', 'keyboard.n.01', 'desk.n.01']
mouse next to keyboard 	keyboard is on the desk	mouse next to keyboard keyboard is on the desk	['mouse', 'keyboard', 'desk']	['mouse.n.01', 'keyboard.n.01', 'desk.n.01']
